iter	Passed	Remaining
0	57	57438
1	57	28904
2	58	19395
3	58	14648
4	59	11774
5	59	9851
6	59	8481
7	60	7450
8	60	6651
9	60	6010
10	61	5487
11	61	5047
12	61	4675
13	61	4360
14	62	4084
15	62	3850
16	62	3636
17	63	3449
18	63	3281
19	63	3132
20	64	2992
21	64	2877
22	65	2763
23	65	2657
24	65	2562
25	65	2472
26	66	2389
27	66	2311
28	66	2238
29	67	2170
30	67	2106
31	67	2047
32	67	1990
33	68	1938
34	68	1889
35	68	1842
36	69	1801
37	69	1760
38	69	1720
39	70	1682
40	70	1646
41	70	1612
42	70	1578
43	71	1547
44	71	1517
45	71	1488
46	72	1460
47	72	1434
48	72	1409
49	73	1387
50	73	1366
51	73	1344
52	74	1322
53	74	1300
54	74	1280
55	74	1260
56	75	1241
57	75	1223
58	75	1207
59	76	1192
60	76	1175
61	76	1159
62	76	1144
63	77	1129
64	77	1114
65	77	1100
66	78	1087
67	78	1075
68	78	1063
69	79	1050
70	79	1038
71	79	1026
72	79	1015
73	80	1006
74	80	994
75	81	985
76	81	976
77	81	968
78	82	958
79	82	949
80	82	939
81	83	929
82	83	919
83	83	910
84	83	901
85	84	893
86	84	884
87	84	876
88	84	868
89	85	860
90	85	852
91	85	845
92	85	837
93	86	831
94	86	823
95	86	816
96	86	809
97	87	802
98	87	797
99	87	791
100	88	784
101	88	777
102	88	771
103	88	764
104	89	759
105	89	753
106	89	748
107	89	742
108	90	737
109	90	732
110	90	726
111	90	721
112	91	715
113	91	710
114	91	706
115	92	701
116	92	696
117	92	691
118	92	686
119	93	682
120	93	677
121	93	673
122	93	668
123	94	664
124	94	660
125	94	656
126	94	652
127	95	649
128	95	646
129	96	642
130	96	638
131	96	635
132	96	631
133	97	628
134	97	624
135	97	620
136	97	616
137	98	614
138	98	610
139	98	607
140	99	603
141	99	600
142	99	597
143	99	594
144	100	591
145	100	587
146	100	584
147	101	581
148	101	577
149	101	574
150	101	571
151	101	568
152	102	565
153	102	562
154	102	559
155	102	556
156	103	553
157	103	551
158	103	548
159	103	545
160	104	543
161	104	540
162	104	538
163	105	535
164	105	533
165	105	530
166	105	528
167	106	525
168	106	523
169	106	520
170	106	518
171	107	515
172	107	513
173	107	511
174	107	508
175	108	507
176	108	504
177	108	502
178	109	500
179	109	499
180	109	497
181	110	495
182	110	492
183	110	490
184	110	488
185	111	486
186	111	484
187	111	482
188	111	480
189	112	478
190	112	476
191	112	474
192	113	473
193	113	471
194	113	469
195	114	467
196	114	465
197	114	463
198	114	462
199	115	460
200	115	458
201	115	456
202	115	454
203	116	453
204	116	451
205	116	449
206	117	448
207	117	446
208	117	444
209	117	443
210	117	441
211	118	439
212	118	437
213	118	436
214	118	434
215	119	433
216	119	431
217	119	429
218	120	428
219	120	426
220	120	424
221	120	423
222	121	422
223	121	420
224	121	419
225	121	417
226	122	416
227	122	414
228	122	413
229	122	411
230	123	410
231	123	408
232	123	407
233	123	405
234	124	404
235	124	403
236	124	401
237	125	400
238	125	399
239	125	397
240	125	396
241	126	395
242	126	393
243	126	392
244	126	391
245	127	389
246	127	388
247	127	387
248	127	385
249	128	384
250	128	383
251	128	381
252	128	380
253	129	379
254	129	378
255	129	377
256	130	375
257	130	374
258	130	373
259	130	372
260	131	371
261	131	369
262	131	368
263	131	367
264	132	366
265	132	365
266	132	365
267	133	364
268	133	363
269	133	362
270	134	361
271	134	360
272	134	359
273	135	358
274	135	357
275	135	356
276	135	354
277	136	353
278	136	352
279	136	351
280	136	350
281	137	349
282	137	348
283	137	346
284	137	345
285	138	344
286	138	343
287	138	342
288	138	341
289	138	340
290	139	339
291	139	337
292	139	336
293	139	336
294	140	334
295	140	334
296	140	332
297	140	332
298	141	331
299	141	330
300	141	329
301	142	328
302	142	327
303	142	326
304	142	325
305	143	324
306	143	323
307	143	322
308	143	321
309	144	321
310	144	320
311	144	319
312	145	318
313	145	317
314	145	316
315	145	315
316	146	314
317	146	313
318	146	312
319	146	312
320	147	311
321	147	310
322	147	309
323	147	308
324	147	307
325	148	306
326	148	305
327	148	305
328	149	304
329	149	303
330	150	303
331	150	302
332	150	302
333	151	301
334	151	300
335	151	299
336	151	298
337	152	297
338	152	296
339	152	295
340	152	295
341	152	294
342	153	293
343	153	292
344	153	291
345	153	290
346	154	290
347	154	289
348	154	288
349	154	287
350	155	286
351	155	286
352	155	285
353	156	285
354	156	284
355	156	283
356	157	282
357	157	282
358	157	281
359	158	280
360	158	280
361	158	279
362	158	278
363	159	277
364	159	277
365	159	276
366	159	275
367	160	274
368	160	274
369	160	273
370	160	272
371	161	271
372	161	271
373	161	270
374	161	269
375	162	268
376	162	268
377	162	267
378	162	266
379	163	266
380	163	265
381	163	264
382	164	264
383	164	263
384	164	262
385	164	262
386	165	261
387	165	260
388	165	260
389	166	259
390	166	259
391	166	258
392	166	257
393	167	257
394	167	256
395	167	255
396	167	255
397	168	254
398	168	253
399	168	253
400	169	252
401	169	251
402	169	251
403	169	250
404	170	249
405	170	249
406	170	248
407	170	247
408	171	247
409	171	246
410	171	246
411	172	245
412	172	245
413	172	244
414	173	244
415	173	243
416	173	242
417	173	242
418	174	241
419	174	241
420	174	240
421	175	239
422	175	239
423	175	238
424	176	238
425	176	237
426	176	236
427	176	236
428	177	235
429	177	235
430	177	234
431	177	234
432	178	233
433	178	232
434	178	232
435	179	231
436	179	231
437	179	230
438	179	229
439	180	229
440	180	228
441	180	228
442	181	227
443	181	227
444	181	226
445	181	225
446	182	225
447	182	224
448	182	224
449	182	223
450	183	223
451	183	222
452	183	221
453	183	221
454	184	220
455	184	220
456	184	219
457	185	218
458	185	218
459	185	217
460	185	217
461	186	216
462	186	216
463	186	215
464	187	215
465	187	214
466	187	214
467	188	213
468	188	213
469	189	213
470	189	212
471	189	212
472	190	211
473	190	211
474	190	210
475	190	210
476	191	209
477	191	208
478	191	208
479	191	207
480	192	207
481	192	206
482	192	206
483	193	205
484	193	205
485	193	204
486	193	204
487	194	203
488	194	203
489	194	202
490	194	202
491	195	201
492	195	200
493	195	200
494	195	199
495	196	199
496	196	198
497	196	198
498	196	197
499	197	197
500	197	196
501	197	196
502	198	195
503	198	195
504	198	194
505	198	194
506	198	193
507	199	192
508	199	192
509	199	191
510	200	191
511	200	190
512	200	190
513	200	189
514	200	189
515	201	188
516	201	188
517	201	187
518	201	187
519	202	186
520	202	186
521	202	185
522	203	185
523	203	184
524	203	184
525	203	183
526	204	183
527	204	183
528	204	182
529	205	182
530	205	181
531	205	181
532	206	180
533	206	180
534	206	179
535	206	179
536	207	178
537	207	178
538	207	177
539	207	177
540	208	176
541	208	176
542	208	175
543	209	175
544	209	174
545	209	174
546	209	173
547	210	173
548	210	172
549	210	172
550	210	171
551	211	171
552	211	170
553	211	170
554	211	169
555	212	169
556	212	168
557	212	168
558	212	168
559	213	167
560	213	167
561	213	166
562	214	166
563	214	165
564	214	165
565	214	164
566	214	164
567	215	163
568	215	163
569	215	162
570	216	162
571	216	161
572	216	161
573	216	160
574	217	160
575	217	160
576	217	159
577	217	159
578	218	158
579	218	158
580	219	157
581	219	157
582	219	157
583	219	156
584	220	156
585	220	155
586	220	155
587	220	154
588	221	154
589	221	153
590	221	153
591	222	153
592	222	152
593	222	152
594	223	151
595	223	151
596	223	150
597	223	150
598	223	149
599	224	149
600	224	149
601	224	148
602	224	148
603	225	147
604	225	147
605	225	146
606	225	146
607	226	145
608	226	145
609	226	144
610	226	144
611	227	143
612	227	143
613	227	143
614	227	142
615	228	142
616	228	141
617	228	141
618	228	140
619	229	140
620	229	140
621	229	139
622	229	139
623	230	138
624	230	138
625	230	137
626	231	137
627	231	137
628	231	136
629	231	136
630	232	135
631	232	135
632	232	134
633	232	134
634	233	134
635	233	133
636	233	133
637	233	132
638	234	132
639	234	131
640	234	131
641	235	131
642	235	130
643	235	130
644	235	129
645	235	129
646	236	128
647	236	128
648	236	128
649	237	127
650	237	127
651	237	126
652	237	126
653	238	125
654	238	125
655	238	125
656	238	124
657	239	124
658	239	123
659	239	123
660	240	123
661	240	122
662	240	122
663	240	121
664	241	121
665	241	121
666	241	120
667	241	120
668	242	119
669	242	119
670	242	118
671	242	118
672	243	118
673	243	117
674	243	117
675	243	116
676	244	116
677	244	116
678	244	115
679	244	115
680	245	114
681	245	114
682	245	114
683	246	113
684	246	113
685	246	112
686	246	112
687	247	112
688	247	111
689	247	111
690	248	110
691	248	110
692	248	110
693	248	109
694	249	109
695	249	108
696	249	108
697	250	108
698	250	107
699	250	107
700	250	106
701	251	106
702	251	106
703	251	105
704	251	105
705	252	105
706	252	104
707	252	104
708	252	103
709	253	103
710	253	103
711	253	102
712	254	102
713	254	101
714	254	101
715	254	101
716	255	100
717	255	100
718	255	99
719	255	99
720	256	99
721	256	98
722	256	98
723	256	97
724	257	97
725	257	97
726	257	96
727	258	96
728	258	96
729	258	95
730	258	95
731	259	94
732	259	94
733	259	94
734	259	93
735	260	93
736	260	92
737	260	92
738	260	92
739	261	91
740	261	91
741	261	91
742	262	90
743	262	90
744	262	89
745	262	89
746	263	89
747	263	88
748	263	88
749	263	87
750	264	87
751	264	87
752	264	86
753	265	86
754	265	86
755	265	85
756	266	85
757	266	85
758	266	84
759	266	84
760	267	83
761	267	83
762	267	83
763	268	82
764	268	82
765	268	82
766	268	81
767	269	81
768	269	80
769	269	80
770	269	80
771	270	79
772	270	79
773	270	79
774	270	78
775	271	78
776	271	77
777	271	77
778	271	77
779	272	76
780	272	76
781	272	76
782	273	75
783	273	75
784	273	74
785	273	74
786	274	74
787	274	73
788	274	73
789	274	73
790	275	72
791	275	72
792	275	71
793	275	71
794	276	71
795	276	70
796	276	70
797	277	70
798	277	69
799	277	69
800	277	69
801	278	68
802	278	68
803	278	67
804	278	67
805	279	67
806	279	66
807	279	66
808	279	66
809	280	65
810	280	65
811	280	65
812	281	64
813	281	64
814	281	63
815	282	63
816	282	63
817	282	62
818	283	62
819	283	62
820	283	61
821	284	61
822	284	61
823	284	60
824	284	60
825	285	60
826	285	59
827	285	59
828	285	58
829	286	58
830	286	58
831	286	57
832	287	57
833	287	57
834	287	56
835	287	56
836	288	56
837	288	55
838	288	55
839	288	55
840	289	54
841	289	54
842	289	53
843	289	53
844	290	53
845	290	52
846	290	52
847	291	52
848	291	51
849	291	51
850	291	51
851	292	50
852	292	50
853	292	50
854	292	49
855	293	49
856	293	48
857	293	48
858	294	48
859	294	47
860	294	47
861	295	47
862	295	46
863	295	46
864	295	46
865	296	45
866	296	45
867	296	45
868	297	44
869	297	44
870	297	44
871	298	43
872	298	43
873	298	43
874	298	42
875	299	42
876	299	41
877	299	41
878	299	41
879	300	40
880	300	40
881	300	40
882	300	39
883	301	39
884	301	39
885	301	38
886	302	38
887	302	38
888	302	37
889	302	37
890	303	37
891	303	36
892	303	36
893	303	36
894	304	35
895	304	35
896	304	34
897	304	34
898	305	34
899	305	33
900	305	33
901	306	33
902	306	32
903	306	32
904	306	32
905	307	31
906	307	31
907	307	31
908	307	30
909	308	30
910	308	30
911	308	29
912	308	29
913	309	29
914	309	28
915	309	28
916	310	28
917	310	27
918	310	27
919	310	27
920	311	26
921	311	26
922	311	26
923	312	25
924	312	25
925	312	24
926	313	24
927	313	24
928	313	23
929	314	23
930	314	23
931	314	22
932	314	22
933	315	22
934	315	21
935	315	21
936	316	21
937	316	20
938	316	20
939	316	20
940	317	19
941	317	19
942	317	19
943	317	18
944	318	18
945	318	18
946	318	17
947	318	17
948	319	17
949	319	16
950	319	16
951	319	16
952	320	15
953	320	15
954	320	15
955	321	14
956	321	14
957	321	14
958	321	13
959	322	13
960	322	13
961	322	12
962	322	12
963	323	12
964	323	11
965	323	11
966	324	11
967	324	10
968	324	10
969	324	10
970	325	9
971	325	9
972	325	9
973	325	8
974	326	8
975	326	8
976	326	7
977	327	7
978	327	7
979	327	6
980	327	6
981	328	6
982	328	5
983	328	5
984	329	5
985	329	4
986	329	4
987	329	4
988	329	3
989	330	3
990	330	3
991	330	2
992	331	2
993	331	2
994	331	1
995	331	1
996	332	0
997	332	0
998	332	0
999	332	0
